Time_s,Tink_temp,Tqe,N,Gear,Vxx,TCOOL,Qa,P_int,P_ext,N_t,VVT_ex_crk,VVT_in_crk,Ign_angle_crk,VSP,CO,CO2,Nox,HC
6.4,42.859969,0.336796,747.25,0,4.56,84.0,60.998581,300.0,0.687016,4736.007988,0.0,0.08,1.875,0.01952215236939717,23.6406726391774,310.490122782244,75.760436,3978.05174192714
6.5,42.859969,0.336796,747.25,0,4.56,84.0,60.998581,300.0,0.687016,4736.007988,0.0,0.08,1.875,0.01952215236939717,23.1988351924888,310.456884200541,75.803423,4012.44846814263
6.6,42.859969,0.336796,747.25,0,4.56,84.0,60.998581,300.0,1.839316,4732.331131,0.0,0.0800000000000002,1.875,0.01952215236939717,23.232884998006,310.445401808856,75.575213,4032.26467799368
6.7,42.86523,0.329412,748.0,0,4.53,84.0,60.489906,298.0,1.366577,4680.592496,0.0,0.1,1.875,0.019113308216415607,23.3571250237194,308.704993295123,75.559015,4037.84931983923
6.8,42.86523,0.339257,751.75,0,4.55,84.0,60.807827,298.0,1.10394500000001,4679.541965,0.0,0.12,1.125,0.019783225603264752,23.2407149766412,311.627073446874,75.713935,4043.49068041022
6.9,42.86523,0.331116,751.75,0,4.55,84.0,60.807827,298.0,1.839316,4736.007988,0.0,0.12,1.125,0.01930849629882541,23.1910784355966,311.632667824145,75.811452,4035.19316702667
7.0,42.86523,0.331495,747.5,0,4.54,84.0,60.701855,298.0,0.729693,4686.633047,0.0,0.06,1.875,0.019221312021840915,23.0717531509161,310.83776213558,75.708304,4034.41016254967
7.1,42.86523,0.329223,747.5,0,4.54,84.0,60.701855,298.0,1.373143,4581.31735,0.0,0.0600000000000002,1.87500000000001,0.019089573018496602,22.8662009376848,310.840855462446,75.74947,4043.94390922766
7.2,42.86523,0.327898,745.75,0,4.53,84.0,60.405128,299.0,1.04157,4680.329863,0.0,0.08,2.625,0.018968233152256805,22.555582592737,309.564825720052,75.514505,4058.37286560842
7.3,42.86523,0.332252,753.25,0,4.53,84.0,60.489906,298.0,1.31076799999999,4625.702269,0.0,0.12,0.75,0.01941339958501219,22.820202318166,315.108423256348,75.189091,4082.39015430522
7.4,42.86523,0.327708,753.25,0,4.53,84.0,60.489906,298.0,0.618075,4676.653006,0.0,0.12,0.75,0.01914789482442596,22.6875290587386,314.868992407115,75.025721,4090.81359420525
7.5,42.86523,0.329223,757.0,0,4.52,84.0,60.299152,297.0,2.380996,4634.63178,0.0,0.06,0.0,0.019332182976591207,23.2135171239838,316.638854550093,74.695294,4093.19904007321
