Time_s,Tink_temp,Tqe,N,Gear,Vxx,TCOOL,Qa,P_int,P_ext,N_t,VVT_ex_crk,VVT_in_crk,Ign_angle_crk,VSP,CO,CO2,Nox,HC
726.9,26.865908,87.4425676,2215.475,2,21.3059997,74.25,301.3622342,1038.50000000016,379.50530450001,,30.2579999999973,33.8899986000039,13.4625000000009,15.027426227742108,29.0017609500354,5078.94315036035,3176.32579720025,0.0
727.0,26.865908,88.8387515,2365.625,2,27.284999,74.25,386.7242187,1187.09999999999,388.756541399999,,27.9020003,37.3440006,14.3624999999999,16.302086649948482,44.6064658175921,6919.23160146365,3459.54935919992,0.0
727.1,26.865908,89.6365327,2396.25,2,27.809999,74.25,394.498474,1199.0,386.5878551,,27.860001,37.400002,14.625,16.661420463561893,58.7197233596898,7296.87316451794,3651.5976626,0.0
727.2,26.865908,103.1576361,2396.25,2,27.809999,74.25,394.498474,1199.0,375.547434899996,,27.860001,37.400002,14.625,19.17469024422908,76.7971595778236,7270.31248781356,3745.64866710003,0.0
727.3,26.865908,134.9440622,2396.25,2,27.809999,74.25,394.498474,1199.0,355.134969299955,,27.860001,37.400002,14.625,25.08307373847414,95.817622512211,7256.20569527396,3773.0457847,345.981316212896
727.4,26.865908,138.9704661,2396.25,2,27.809999,74.25,394.498474,1199.0,280.864434499908,,27.860001,37.400002,14.625,25.83149189247114,125.887598855505,7255.4202799373,3748.80184589993,1233.85582568029
727.5,26.865908,113.4017663,2396.25,2,27.809999,74.25,394.498474,1199.0,183.591227600018,,27.860001,37.400002,14.625,21.078844224804374,153.879352033597,7241.2206771657,3618.84476580008,2044.29658720655
727.6,26.865908,75.8414634,2396.25,2,27.809999,74.25,394.498474,1199.0,119.6113059,,27.860001,37.400002,14.625,14.097226568417234,190.18052477029,7218.6488891496,3417.0044919,2701.50991157559
727.7,26.9437835,36.5576327,2396.25,2,27.809999,74.25,394.498474,1199.0,50.347876299979,,27.860001,37.400002,14.625,6.7952437607747775,223.165566402237,7181.83656291669,3288.22705009989,3161.76726899999
727.8,27.125493,33.570452,2364.975,2,21.4289993,74.25,304.0179505,945.199999999327,31.841802,,19.5020006999778,26.2520013999704,9.89999999998747,6.1585517113251225,163.305678448915,5147.44817771064,3004.62146919951,3533.04504249881
727.9,27.125493,35.7837449,2292.0,2,6.54,74.25,92.896729,353.0,32.1244602000008,,0.0,0.24,-1.125,6.362023249864387,43.2191759428678,1350.05485093414,2481.57169549976,3809.24344681975
728.0,27.125493,44.0207373,2292.0,2,6.54,74.25,92.896729,353.0,29.8057430000034,,0.0,0.24,-1.125,7.826485320679012,66.9492979864528,1331.7703098353,2112.94577850018,4105.91666280367
